file_name,pred1,pred2,pred3,pred4,pred5
427.jpg,barell racing,steer wrestling,bull riding,volleyball,track bicycle
428.jpg,judo,track bicycle,bowling,luge,basketball
429.jpg,swimming,water polo,log rolling,water cycling,surfing
430.jpg,javelin,shot put,olympic wrestling,high jump,hurdles
431.jpg,canoe slamon,water polo,lacrosse,log rolling,baseball
432.jpg,rock climbing,bungee jumping,skydiving,ice climbing,sky surfing
433.jpg,water cycling,bull riding,steer wrestling,barell racing,horseshoe pitching
434.jpg,bike polo,wheelchair racing,bmx,rollerblade racing,gaga
435.jpg,rollerblade racing,speed skating,wheelchair racing,harness racing,high jump
436.jpg,judo,basketball,pommel horse,bowling,olympic wrestling
437.jpg,ice yachting,sailboat racing,hang gliding,rowing,luge
438.jpg,archery,bungee jumping,javelin,horseshoe pitching,jousting
439.jpg,pole vault,ski jumping,high jump,hurdles,trapeze
440.jpg,trapeze,bungee jumping,hang gliding,ice climbing,ice yachting
441.jpg,sky surfing,snow boarding,bungee jumping,pole climbing,hang gliding
442.jpg,harness racing,log rolling,bike polo,jousting,tug of war
443.jpg,hammer throw,shot put,snow boarding,pommel horse,frisbee
444.jpg,pommel horse,table tennis,judo,bowling,shuffleboard
445.jpg,wheelchair racing,wheelchair basketball,bike polo,bmx,track bicycle
446.jpg,field hockey,ampute football,gaga,ultimate,cheerleading
447.jpg,pole climbing,ice climbing,sky surfing,skydiving,bungee jumping
448.jpg,weightlifting,rollerblade racing,sky surfing,pommel horse,volleyball
449.jpg,weightlifting,tennis,pole climbing,pole vault,figure skating pairs
450.jpg,ice yachting,rowing,sailboat racing,pole vault,hang gliding
451.jpg,formula 1 racing,sidecar racing,nascar racing,motorcycle racing,lacrosse
452.jpg,sailboat racing,rowing,canoe slamon,ski jumping,snowmobile racing
453.jpg,bike polo,rowing,bmx,wheelchair racing,sailboat racing
454.jpg,tug of war,cheerleading,basketball,wheelchair basketball,archery
455.jpg,jai alai,bowling,weightlifting,ski jumping,speed skating
456.jpg,pole dancing,trapeze,figure skating women,pole climbing,baton twirling
457.jpg,hammer throw,croquet,pommel horse,hang gliding,weightlifting
458.jpg,wingsuit flying,luge,bobsled,sky surfing,sidecar racing
459.jpg,hammer throw,horseshoe pitching,bull riding,baseball,shot put
460.jpg,figure skating women,hang gliding,frisbee,rock climbing,surfing
461.jpg,billiards,air hockey,pommel horse,roller derby,rollerblade racing
462.jpg,jai alai,archery,tennis,bungee jumping,table tennis
463.jpg,roller derby,basketball,bowling,speed skating,harness racing
464.jpg,ice climbing,rock climbing,skydiving,canoe slamon,snow boarding
465.jpg,parallel bar,javelin,uneven bars,rings,jai alai
466.jpg,axe throwing,tug of war,shuffleboard,sumo wrestling,gaga
467.jpg,sky surfing,figure skating pairs,pole climbing,wingsuit flying,hang gliding
468.jpg,football,lacrosse,field hockey,ampute football,ultimate
469.jpg,formula 1 racing,sidecar racing,nascar racing,motorcycle racing,bobsled
470.jpg,luge,bobsled,sidecar racing,speed skating,curling
471.jpg,track bicycle,bmx,barell racing,rollerblade racing,basketball
472.jpg,hang gliding,bike polo,wheelchair basketball,archery,wheelchair racing
473.jpg,bike polo,bmx,ski jumping,wheelchair racing,luge
474.jpg,formula 1 racing,nascar racing,sidecar racing,motorcycle racing,luge
475.jpg,bull riding,barell racing,steer wrestling,axe throwing,horse jumping
476.jpg,wheelchair basketball,roller derby,basketball,hockey,curling
477.jpg,jousting,hurdles,rollerblade racing,harness racing,disc golf
478.jpg,pole climbing,boxing,table tennis,water cycling,weightlifting
479.jpg,figure skating women,figure skating pairs,volleyball,javelin,balance beam
480.jpg,field hockey,tug of war,rugby,cheerleading,rowing
481.jpg,frisbee,golf,horseshoe pitching,disc golf,tennis
482.jpg,rugby,tug of war,ultimate,field hockey,olympic wrestling
483.jpg,hurdles,cheerleading,basketball,volleyball,hockey
484.jpg,shuffleboard,bobsled,gaga,air hockey,luge
485.jpg,bungee jumping,field hockey,rings,trapeze,pole vault
486.jpg,ultimate,ampute football,rugby,field hockey,croquet
487.jpg,rings,weightlifting,javelin,pommel horse,table tennis
488.jpg,horse jumping,horse racing,wheelchair racing,harness racing,bmx
489.jpg,baseball,balance beam,javelin,baton twirling,pommel horse
490.jpg,disc golf,axe throwing,tennis,fly fishing,archery
491.jpg,wingsuit flying,sky surfing,pole climbing,hang gliding,water cycling
492.jpg,archery,golf,horseshoe pitching,bmx,barell racing
493.jpg,basketball,javelin,balance beam,hammer throw,volleyball
494.jpg,shuffleboard,bowling,arm wrestling,baton twirling,judo
495.jpg,cricket,football,ampute football,baseball,hurdles
496.jpg,log rolling,horse jumping,swimming,high jump,volleyball
497.jpg,cheerleading,volleyball,curling,basketball,football
498.jpg,tennis,pole vault,figure skating women,frisbee,shot put
499.jpg,horse racing,chuckwagon racing,harness racing,polo,horse jumping
